num_step,seed_5,seed_10,seed_15,seed_20,seed_25
1,3.820800338871777e-05,3.791702329181135e-05,3.6667013773694634e-05,3.704201662912965e-05,6.870899233035743e-05
2,2.0334002329036593e-05,2.112501533702016e-05,1.3999990187585354e-05,1.320798764936626e-05,4.1166989831253886e-05
3,2.058298559859395e-05,1.7291982658207417e-05,1.2333010090515018e-05,1.8332997569814324e-05,1.7041980754584074e-05
4,4.445799277164042e-05,5.67499955650419e-05,4.237500252202153e-05,4.279200220480561e-05,4.891699063591659e-05
5,6.433299859054387e-05,4.312500823289156e-05,5.19170134793967e-05,6.216601468622684e-05,6.754198693670332e-05
6,5.012497422285378e-05,2.649999805726111e-05,7.741700392216444e-05,4.229199839755893e-05,5.037497612647712e-05
7,0.0006402089784387499,0.00011583298328332603,0.0006512499821837991,3.91670037060976e-05,7.879201439209282e-05
8,8.23330192361027e-05,8.74590186867863e-05,2.9290997190400958e-05,0.0006375839875545353,8.970798808149993e-05
9,4.358298610895872e-05,6.395799573510885e-05,4.833302227780223e-05,8.900000830180943e-05,8.82500025909394e-05
10,8.820800576359034e-05,5.787500413134694e-05,2.449998282827437e-05,8.850000449456275e-05,0.0007429170073010027
11,0.00013679199037142098,0.000633084011496976,8.800000068731606e-05,2.491599298082292e-05,4.824998904950917e-05
12,8.637501741759479e-05,4.170800093561411e-05,0.00012050001532770693,8.733299910090864e-05,8.691701805219054e-05
13,8.245898061431944e-05,6.733302143402398e-05,8.783399243839085e-05,8.579099085181952e-05,9.26670036278665e-05
14,0.00013512498117052019,8.458300726488233e-05,6.37090124655515e-05,8.470899774692953e-05,0.000142250006319955
15,6.416699034161866e-05,0.00010912501602433622,8.404202526435256e-05,0.00013954201131127775,8.495899965055287e-05
16,8.616701234132051e-05,4.474999150261283e-05,0.00014241598546504974,8.612501551397145e-05,6.466699414886534e-05
17,7.01249809935689e-05,8.654201519675553e-05,5.750000127591193e-05,8.691698894836009e-05,0.00015204199007712305
18,0.0001382080081384629,9.04159969650209e-05,4.629199975170195e-05,9.06249915715307e-05,6.308400770649314e-05
19,8.925001020543277e-05,0.00013983299140818417,9.00000159163028e-05,0.00014399999054148793,0.00010395800927653909
20,4.15419926866889e-05,6.52919989079237e-05,0.00013695898815058172,8.812500163912773e-05,8.425000123679638e-05
21,0.00014020799426361918,9.124999633058906e-05,9.066599886864424e-05,6.454199319705367e-05,0.00021270799334160984
22,8.741699275560677e-05,4.3917010771110654e-05,8.64580215420574e-05,0.0001398339809384197,9.120799950323999e-05
23,9.250000584870577e-05,0.00011191697558388114,0.00014083299902267754,9.016698459163308e-05,6.0542020946741104e-05
24,8.933301432989538e-05,5.908301682211459e-05,9.183300426229835e-05,8.774999878369272e-05,9.762498666532338e-05
25,0.00014362501678988338,4.279200220480561e-05,8.74590186867863e-05,0.0001412919955328107,0.00014154199743643403
26,9.250000584870577e-05,8.854200132191181e-05,0.000142250006319955,9.499999578110874e-05,0.00013412500265985727
27,6.116600707173347e-05,0.0001363330229651183,8.724999497644603e-05,9.225000394508243e-05,8.724999497644603e-05
28,0.00013666701852343976,9.166600648313761e-05,8.53329838719219e-05,8.93340038601309e-05,0.00014383398229256272
29,9.258298086933792e-05,8.925001020543277e-05,4.420799086801708e-05,0.00014758299221284688,9.187500108964741e-05
30,8.900000830180943e-05,9.229200077243149e-05,0.00013733399100601673,7.60830007493496e-05,0.00010954198660328984
31,7.808298687450588e-05,0.0001364579948130995,9.129199315793812e-05,9.32500115595758e-05,0.00011066600563935935
